"Source:","W:\Emulators\Spectrum Repair\Gotek Bits\Gotek AT32F435 26 Pin Std Size PCB\Gotek.kicad_sch"
"Date:","2025-04-11T10:23:15+0100"
"Tool:","Eeschema 8.0.9"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","72"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Arrow Part Number","Arrow Price/Stock","Datasheet","Description","Footprint","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Sim.Device","Sim.Pins"
"1","2","C1, C19","100uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","","","","~","Polarized capacitor","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","","","","","",""
"2","2","C3, C5","22pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","~","Unpolarized capacitor","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","","","","","",""
"3","8","C4, C6, C8, C9, C16, C18, C20, C23","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","~","Unpolarized capacitor","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","","","","","",""
"4","1","C17","100uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","DNP","","","~","Polarized capacitor","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","","","","","",""
"5","1","DID1","1N4148WS","Diode:1N4148WS","Gotek:SODFL2512X90N","https://www.vishay.com/docs/85751/1n4148ws.pdf","","","","https://www.vishay.com/docs/85751/1n4148ws.pdf","75V 0.15A Fast switching Diode, SOD-323","Gotek:SODFL2512X90N","","","","","","D","1=K 2=A"
"6","1","J3","Conn_01x03_Pin","Connector:Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","DNP","","","~","Generic connector, single row, 01x03, script generated","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","","","","","",""
"7","1","J4","Conn_01x02_Pin","Connector:Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","DNP","","","~","Generic connector, single row, 01x02, script generated","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","","","","",""
"8","4","J5, JA1, JB1, JC1","Conn_01x02","Connector:Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","~","Generic connector, single row, 01x02, script generated","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","","","","",""
"9","1","J7","OLED","Connector:Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Horizontal","~","","","","~","Generic connector, single row, 01x04, script generated","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Horizontal","","","","","","",""
"10","1","J8","RotaryEncoder","Connector:Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Horizontal","~","","","","~","Generic connector, single row, 01x04, script generated","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Horizontal","","","","","","",""
"11","1","J10","Conn_01x04_Pin","Connector:Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","DNP","","","~","Generic connector, single row, 01x04, script generated","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","","","","","",""
"12","2","JD1, JE1","Conn_01x02_Pin","Connector:Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~","","","","~","Generic connector, single row, 01x02, script generated","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","","","","","","",""
"13","1","JK1","Conn_01x02","Connector:Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Horizontal","~","","","","~","Generic connector, single row, 01x02, script generated","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Horizontal","","","","","","",""
"14","1","JKA1","Conn_01x02","Connector:Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Horizontal","~","DNP","","","~","Generic connector, single row, 01x02, script generated","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Horizontal","","","","","","",""
"15","1","L3","LED GREEN","Device:LED","LED_THT:LED_D4.0mm","~","DNP","","","~","Light emitting diode","LED_THT:LED_D4.0mm","","","","","","",""
"16","1","L4","LED GREEN","Device:LED","LED_THT:LED_D4.0mm","~","","","","~","Light emitting diode","LED_THT:LED_D4.0mm","","","","","","",""
"17","1","L5","LED RED","Device:LED","LED_THT:LED_D4.0mm","~","","","","~","Light emitting diode","LED_THT:LED_D4.0mm","","","","","","",""
"18","1","MO1","Conn_01x03_Pin","Connector:Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","~","","","","~","Generic connector, single row, 01x03, script generated","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","","","","","","",""
"19","1","P1","2005280260","Gotek:2005280260","Gotek:MOLEX_CON_2005280260","2005280260","","","","2005280260","","Gotek:MOLEX_CON_2005280260","","","","","","",""
"20","1","P3","USB_A","Connector:USB_A","Connector_USB:USB_A_Molex_67643_Horizontal","~","","","","~","USB Type A connector","Connector_USB:USB_A_Molex_67643_Horizontal","","","","","","",""
"21","21","PU1, PU2, PU3, PU4, PU5, PU6, PU7, PU8, PU9, PU10, PU11, PU12, PU13, PU14, R20, RN1, RN2, RN3, RN4, RN5, RN6","1K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","~","Resistor","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","","","","","",""
"22","6","Q1, Q2, Q3, Q4, Q5, Q6","PMBT2222A,215","Gotek:PMBT2222A,215","Gotek:SOT95P280X130-3N","https://assets.nexperia.com/documents/data-sheet/PMBT2222A.pdf","","","","https://assets.nexperia.com/documents/data-sheet/PMBT2222A.pdf","PMBT2222; PMBT2222A - NPN switching transistors","Gotek:SOT95P280X130-3N","1.1","Nexperia","PMBT2222A,215","771-PMBT2222A-T/R","https://www.mouser.co.uk/ProductDetail/Nexperia/PMBT2222A215?qs=LOCUfHb8d9u7n2jbGrJFWg%3D%3D","",""
"23","2","R1, R2","22R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","~","Resistor","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","","","","","",""
"24","2","R10, R13","4K7","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","~","Resistor","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","","","","","",""
"25","1","R21","12K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","~","Resistor","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","","","","","",""
"26","2","S3, S4","SKHHANA010","Gotek:SKHHANA010","Gotek:SKHHLQA010","https://www.mouser.co.uk/datasheet/2/15/SKHH-1370651.pdf","","","","https://www.mouser.co.uk/datasheet/2/15/SKHH-1370651.pdf","Tact switch,PCB,SPST,black,0.98N o/force Black Stem Tactile Switch, SPST-NO 50 mA 9.5mm","Gotek:SKHHLQA010","","ALPS Electric","SKHHANA010","688-SKHHAN","https://www.mouser.co.uk/ProductDetail/Alps-Alpine/SKHHANA010?qs=seHrhfPpLDzbQApxfd3mfQ%3D%3D","",""
"27","1","U1","74AHC04","74xx:74AHC04","Package_SO:SO-14_3.9x8.65mm_P1.27mm","https://assets.nexperia.com/documents/data-sheet/74AHC_AHCT04.pdf","","","","https://assets.nexperia.com/documents/data-sheet/74AHC_AHCT04.pdf","Hex Inverter","Package_SO:SO-14_3.9x8.65mm_P1.27mm","","","","","","",""
"28","1","U3","AT32F435RGT7","Gotek:AT32F435RxT7-SQ","Gotek:QFP50P1200X1200X160-64N","https://www.arterychip.com/file/download/1977","","","","https://www.arterychip.com/file/download/1977","32-Bit FLASH ARM Cortex-M4 200MHz 2.6V ~ 3.6V LQFP-64 ARTERY Mcu RoHS","Gotek:QFP50P1200X1200X160-64N","1.6","Artery","AT32F435RGT7","","","",""
"29","1","U4","AMS1117-3.3","Gotek:ams1117-3.3v","Gotek:SOT229P700X180-4N","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","","","http://www.advanced-monolithic.com/pdf/ds1117.pdf","1A LOW DROPOUT VOLTAGE REGULATOR, SOT-223","Gotek:SOT229P700X180-4N","1.8","Advanced Monolithic Systems","ams1117-3.3v","","","",""
"30","1","U8","SST25VF016B-50-4C-S2AF","Gotek:SST25VF016B-50-4C-S2AF","Gotek:SOIC127P790X216-8N","https://ww1.microchip.com/downloads/en/DeviceDoc/20005044C.pdf","DNP","","","https://ww1.microchip.com/downloads/en/DeviceDoc/20005044C.pdf","MICROCHIP - SST25VF016B-50-4C-S2AF - Flash Memory, Serial NOR, 16 Mbit, SPI, SOIC, 8 Pins","Gotek:SOIC127P790X216-8N","2.16","Microchip","SST25VF016B-50-4C-S2AF","579-25VF016B504CS2AF","https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Atmel/SST25VF016B-50-4C-S2AF?qs=1RUxC5ic%2FMrPBUCcCO13YA%3D%3D","",""
"31","1","Y1","8Mhz","Device:Crystal","Crystal:Crystal_HC18-U_Vertical","~","","","","~","Two pin crystal","Crystal:Crystal_HC18-U_Vertical","","","","","","",""
